feature,rfe_inclusion_prob,lasso_inclusion_prob
D38128_at,0.2222222222222222,0.0
D38145_at,0.1111111111111111,0.0
D38293_at,0.1111111111111111,0.0
D38305_at,0.1111111111111111,0.0
D38491_at,0.1111111111111111,0.0
D38500_at,0.3333333333333333,0.0
D38521_at,0.6666666666666666,0.0
D38535_at,0.3333333333333333,0.0
D38548_at,0.5555555555555556,0.0
D38551_at,0.2222222222222222,0.0
D38552_at,0.3333333333333333,0.0
D38583_at,0.4444444444444444,0.0
D38751_at,0.4444444444444444,0.0
D42039_at,0.1111111111111111,0.0
D42041_at,0.4444444444444444,0.0
D42043_at,1.0,0.0
D42044_at,0.2222222222222222,0.0
D42045_at,0.1111111111111111,0.0
D42046_at,0.1111111111111111,0.0
D42084_at,0.1111111111111111,0.0
D42085_at,0.1111111111111111,0.0
D42087_at,0.1111111111111111,0.0
D43638_at,0.2222222222222222,0.0
D43772_at,0.6666666666666666,0.0
D43948_at,0.1111111111111111,0.0
D43949_at,0.2222222222222222,0.0
D43950_at,0.1111111111111111,0.0
D43951_at,0.2222222222222222,0.0
D45248_at,0.7777777777777778,0.0
D45370_at,1.0,0.0
D45906_at,0.1111111111111111,0.0
D49400_at,0.8888888888888888,0.0
D49410_at,0.2222222222222222,0.0
D49490_at,0.2222222222222222,0.0
D49738_at,0.5555555555555556,0.0
D49817_at,0.2222222222222222,0.0
D49950_at,1.0,0.0
D50063_at,0.5555555555555556,0.0
D50310_at,0.1111111111111111,0.0
D50312_at,0.6666666666666666,0.0
D50663_at,0.2222222222222222,0.0
D50678_at,0.1111111111111111,0.0
D50692_at,0.3333333333333333,0.0
D50810_at,0.5555555555555556,0.0
D50840_at,0.3333333333333333,0.0
D50911_at,0.4444444444444444,0.0
D50912_at,0.8888888888888888,0.0
D50913_at,0.3333333333333333,0.0
D50914_at,0.3333333333333333,0.0
D50915_at,0.6666666666666666,0.0
D50917_at,0.2222222222222222,0.0
D50918_at,1.0,0.0
D50923_at,0.2222222222222222,0.0
D50926_at,0.1111111111111111,0.0
D50930_at,0.6666666666666666,0.0
D55640_at,0.4444444444444444,0.0
D55696_at,0.4444444444444444,0.0
D56495_at,0.1111111111111111,0.0
D63160_at,0.2222222222222222,0.0
D63391_at,0.3333333333333333,0.0
D63476_at,0.2222222222222222,0.0
D63480_at,0.1111111111111111,0.0
D63482_at,0.1111111111111111,0.0
D63483_at,0.3333333333333333,0.0
D63484_at,0.7777777777777778,0.0
D63851_at,0.1111111111111111,0.0
D63874_at,0.3333333333333333,0.0
D63875_at,0.2222222222222222,0.0
D63880_at,1.0,0.0
D63881_at,0.1111111111111111,0.0
D64109_at,0.1111111111111111,0.0
D64154_at,0.2222222222222222,0.0
D64158_at,0.4444444444444444,0.0
D64159_at,0.1111111111111111,0.0
D67029_at,0.2222222222222222,0.0
D78151_at,0.1111111111111111,0.0
D78334_at,0.1111111111111111,0.0
D78586_at,0.2222222222222222,0.0
D78611_at,0.2222222222222222,0.0
D79205_at,0.1111111111111111,0.0
D79988_at,0.7777777777777778,0.0
D79989_at,0.1111111111111111,0.0
D79994_at,0.6666666666666666,0.0
D79998_at,1.0,0.0
D79999_at,0.2222222222222222,0.0
D80003_at,0.6666666666666666,0.0
D80006_at,0.6666666666666666,0.0
D80008_at,0.1111111111111111,0.0
D80010_at,0.4444444444444444,0.0
D82346_at,0.2222222222222222,0.0
D83032_at,0.1111111111111111,0.0
D83243_at,0.6666666666666666,0.0
D83777_at,0.5555555555555556,0.0
D83779_at,0.7777777777777778,0.0
D83781_at,0.1111111111111111,0.0
D83783_at,0.1111111111111111,0.0
D83785_at,0.7777777777777778,0.0
D84145_at,0.2222222222222222,0.0
D84294_at,0.8888888888888888,0.0
D84424_at,0.1111111111111111,0.0
D84454_at,0.3333333333333333,0.0
D84557_at,0.3333333333333333,0.0
D85245_at,0.3333333333333333,0.0
D85418_at,0.3333333333333333,0.0
D85423_at,0.4444444444444444,0.0
D85429_at,0.4444444444444444,0.0
D85758_at,0.1111111111111111,0.0
D85939_at,0.3333333333333333,0.0
D86479_at,0.5555555555555556,0.0
D86640_at,0.1111111111111111,0.0
D86956_at,0.5555555555555556,0.0
D86957_at,0.1111111111111111,0.0
D86960_at,0.2222222222222222,0.0
D86962_at,0.2222222222222222,0.0
D86966_at,0.1111111111111111,0.0
D86967_at,0.7777777777777778,0.0
D86969_at,0.1111111111111111,0.0
D86970_at,0.2222222222222222,0.0
D86975_at,0.2222222222222222,0.0
D86976_at,0.7777777777777778,0.0
D86977_at,0.2222222222222222,0.0
D86978_at,0.3333333333333333,0.0
D86979_at,0.1111111111111111,0.0
D86982_at,0.2222222222222222,0.0
D86983_at,0.7777777777777778,0.0
D86984_at,0.6666666666666666,0.0
D87073_at,0.1111111111111111,0.0
D87075_at,0.1111111111111111,0.0
D87076_at,1.0,0.0
D87077_at,0.2222222222222222,0.0
D87078_at,0.3333333333333333,0.0
D87116_at,0.2222222222222222,0.0
D87127_at,0.4444444444444444,0.0
D87292_at,0.2222222222222222,0.0
D87432_at,0.4444444444444444,0.0
D87434_at,0.6666666666666666,0.0
D87442_at,0.8888888888888888,0.0
D87444_at,0.1111111111111111,0.0
D87445_at,0.1111111111111111,0.0
D87447_at,0.1111111111111111,0.0
D87449_at,0.4444444444444444,0.0
D87452_at,0.6666666666666666,0.0
D87455_at,0.1111111111111111,0.0
D87459_at,0.1111111111111111,0.0
D87461_at,0.1111111111111111,0.0
D87462_at,0.1111111111111111,0.0
D87468_at,0.4444444444444444,0.0
D87682_at,0.1111111111111111,0.0
D87685_at,0.2222222222222222,0.0
D87845_at,0.1111111111111111,0.0
D87937_at,0.1111111111111111,0.0
D87953_at,0.3333333333333333,0.0
D87989_at,0.2222222222222222,0.0
D88270_at,0.8888888888888888,0.0
D88422_at,1.0,0.0
D88460_at,0.1111111111111111,0.0
D88532_at,0.3333333333333333,0.0
D88613_at,0.1111111111111111,0.0
D88667_at,0.1111111111111111,0.0
D89052_at,1.0,0.0
D89077_at,0.1111111111111111,0.0
D89667_at,1.0,0.0
D89858_at,0.3333333333333333,0.0
D89859_at,0.1111111111111111,0.0
D90064_at,0.5555555555555556,0.0
D90086_at,0.1111111111111111,0.0
D90097_at,0.4444444444444444,0.0
D90282_at,0.1111111111111111,0.0
HG1078-HT1078_at,0.3333333333333333,0.0
HG1102-HT1102_at,0.5555555555555556,0.0
HG1103-HT1103_at,0.1111111111111111,0.0
HG1116-HT1116_at,0.2222222222222222,0.0
HG1612-HT1612_at,1.0,0.0
HG1733-HT1748_at,0.4444444444444444,0.0
HG174-HT174_at,0.3333333333333333,0.0
HG1800-HT1823_at,0.1111111111111111,0.0
HG1804-HT1829_at,0.3333333333333333,0.0
HG1828-HT1857_at,0.1111111111111111,0.0
HG1872-HT1907_at,0.1111111111111111,0.0
HG2036-HT2090_at,0.4444444444444444,0.0
HG2161-HT2231_at,0.1111111111111111,0.0
HG2264-HT2360_at,0.2222222222222222,0.0
HG2274-HT2370_at,0.1111111111111111,0.0
HG2279-HT2375_at,0.3333333333333333,0.0
HG2314-HT2410_at,0.1111111111111111,0.0
HG2325-HT2421_at,0.1111111111111111,0.0
HG2415-HT2511_at,0.1111111111111111,0.0
HG2463-HT2559_at,0.4444444444444444,0.0
HG2573-HT2669_at,0.3333333333333333,0.0
HG2604-HT2700_at,0.3333333333333333,0.0
HG270-HT270_at,0.3333333333333333,0.0
HG2707-HT2803_at,0.1111111111111111,0.0
HG2709-HT2805_at,0.3333333333333333,0.0
HG2796-HT2904_at,0.1111111111111111,0.0
HG2855-HT2995_at,0.7777777777777778,0.0
HG3088-HT3263_at,0.4444444444444444,0.0
HG3162-HT3339_at,0.4444444444444444,0.0
HG3214-HT3391_at,0.1111111111111111,0.0
HG3227-HT3404_at,0.1111111111111111,0.0
HG3231-HT3408_at,0.3333333333333333,0.0
HG3248-HT3425_at,0.1111111111111111,0.0
HG3254-HT3431_at,0.7777777777777778,0.0
HG3255-HT3432_at,0.1111111111111111,0.0
HG33-HT33_at,0.3333333333333333,0.0
HG3415-HT3598_at,0.1111111111111111,0.0
HG3432-HT3618_at,0.3333333333333333,0.0
HG3492-HT3686_at,0.2222222222222222,0.0
HG3494-HT3688_at,0.5555555555555556,0.0
HG3495-HT3689_at,0.3333333333333333,0.0
HG3502-HT3696_at,0.6666666666666666,0.0
HG3510-HT3704_at,0.1111111111111111,0.0
HG3517-HT3711_at,0.3333333333333333,0.0
HG3521-HT3715_at,0.1111111111111111,0.0
HG3549-HT3751_at,1.0,0.0
HG3578-HT3781_at,0.2222222222222222,0.0
