feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
HG2662-HT2758_at,0.05,0.0,0.0
HG270-HT270_at,0.275,0.0,0.0
HG2707-HT2803_at,0.375,0.0,0.0
HG2724-HT2820_at,0.05,0.0,0.0
HG2788-HT2896_at,0.15,0.0,0.0
HG2796-HT2904_at,0.25,0.0,0.0
HG2810-HT2921_at,0.025,0.0,0.0
HG2855-HT2995_at,0.775,0.0,0.0
HG2874-HT3018_at,0.05,0.0,0.0
HG3088-HT3263_at,0.55,0.0,0.0
HG3111-HT3287_at,0.1,0.0,0.0
HG3162-HT3339_at,0.55,0.0,0.0
HG3214-HT3391_at,0.275,0.0,0.0
HG3227-HT3404_at,0.125,0.0,0.0
HG3231-HT3408_at,0.475,0.0,0.0
HG3248-HT3425_at,0.05,0.0,0.0
HG3254-HT3431_at,0.975,0.0,0.0
HG3255-HT3432_at,0.05,0.0,0.0
HG33-HT33_at,0.35,0.0,0.0
HG331-HT331_at,0.025,0.0,0.0
HG3313-HT3490_at,0.025,0.0,0.0
HG3369-HT3546_at,0.075,0.0,0.0
HG3400-HT3579_at,0.025,0.0,0.0
HG3432-HT3618_at,0.25,0.0,0.0
HG3492-HT3686_at,0.1,0.0,0.0
HG3494-HT3688_at,0.525,0.0,0.0
HG3495-HT3689_at,0.075,0.0,0.0
HG3502-HT3696_at,0.7,0.0,0.0
HG3510-HT3704_at,0.025,0.0,0.0
HG3517-HT3711_at,0.075,0.0,0.0
HG3521-HT3715_at,0.175,0.0,0.0
HG3548-HT3749_at,0.025,0.0,0.0
HG3549-HT3751_at,0.925,0.0,0.0
HG3566-HT3769_at,0.025,0.0,0.0
HG3570-HT3773_at,0.05,0.0,0.0
HG3578-HT3781_at,0.175,0.0,0.0
HG358-HT358_at,0.125,0.0,0.0
HG3627-HT3836_at,0.15,0.0,0.0
HG363-HT363_at,0.125,0.0,0.0
HG3733-HT4003_at,0.1,0.0,0.0
HG384-HT384_at,0.225,0.0,0.0
HG3893-HT4163_at,0.05,0.0,0.0
HG3930-HT4200_at,0.275,0.0,0.0
HG3934-HT4204_at,0.15,0.0,0.0
HG3945-HT4215_at,1.0,0.0,0.0
HG3987-HT4257_at,0.15,0.0,0.0
HG3992-HT4262_at,0.025,0.0,0.0
HG3995-HT4265_at,0.075,0.0,0.0
HG3998-HT4268_at,0.025,0.0,0.0
HG4018-HT4288_at,0.875,0.0,0.0
HG4051-HT4321_at,0.2,0.0,0.0
HG4058-HT4328_at,0.1,0.0,0.0
HG4068-HT4338_at,0.025,0.0,0.0
HG4073-HT4343_at,0.025,0.0,0.0
HG4074-HT4344_at,0.15,0.0,0.0
HG4128-HT4398_at,0.3,0.0,0.0
HG4157-HT4427_at,0.15,0.0,0.0
HG4165-HT4435_at,0.275,0.0,0.0
HG4167-HT4437_at,0.025,0.0,0.0
HG4178-HT4448_at,0.1,0.0,0.0
HG4243-HT4513_at,0.075,0.0,0.0
HG4258-HT4528_at,0.075,0.0,0.0
HG4310-HT4580_at,0.175,0.0,0.0
HG4319-HT4589_at,0.125,0.0,0.0
HG4321-HT4591_at,0.2,0.0,0.0
HG4333-HT4603_at,0.025,0.0,0.0
HG4336-HT4606_at,0.075,0.0,0.0
HG4411-HT4681_at,0.175,0.0,0.0
HG4433-HT4703_at,0.1,0.0,0.0
HG4462-HT4731_at,0.05,0.0,0.0
HG4480-HT4833_at,0.05,0.0,0.0
HG4582-HT4987_at,0.75,0.0,0.0
HG4606-HT5011_at,0.1,0.0,0.0
HG4662-HT5075_at,0.85,0.0,0.0
HG4716-HT5158_at,0.075,0.0,0.0
HG4724-HT5166_at,0.025,0.0,0.0
HG4740-HT5187_at,0.25,0.0,0.0
HG4747-HT5195_at,0.1,0.0,0.0
HG4749-HT5197_at,0.05,0.0,0.0
HG613-HT613_at,0.45,0.0,0.0
HG620-HT620_at,0.025,0.0,0.0
HG644-HT644_at,0.025,0.0,0.0
HG742-HT742_at,0.025,0.0,0.0
HG821-HT821_at,0.775,0.0,0.0
HG825-HT825_at,0.025,0.0,0.0
HG831-HT831_at,0.075,0.0,0.0
HG846-HT846_at,0.025,0.0,0.0
HG870-HT870_at,0.2,0.0,0.0
HG907-HT907_at,0.1,0.0,0.0
HG909-HT909_at,0.05,0.0,0.0
HG919-HT919_at,0.025,0.0,0.0
HG960-HT960_at,0.025,0.0,0.0
HG987-HT987_at,0.3,0.0,0.0
J00073_at,0.25,0.0,0.0
J00123_at,0.2,0.0,0.0
J00124_at,0.425,0.0,0.0
J00287_at,0.075,0.0,0.0
J00301_at,0.025,0.0,0.0
J00306_at,0.025,0.0,0.0
J02854_at,0.025,0.0,0.0
J02874_at,0.425,0.0,0.0
J02883_at,0.025,0.0,0.0
J02888_at,0.35,0.0,0.0
J02902_at,0.05,0.0,0.0
J02906_at,0.275,0.0,0.0
J02963_at,0.35,0.0,0.0
J03040_at,0.925,0.0,0.0
J03069_rna1_at,0.275,0.0,0.0
J03161_at,0.025,0.0,0.0
J03171_at,0.025,0.0,0.0
J03459_at,0.325,0.0,0.0
J03473_at,0.325,0.0,0.0
J03589_at,0.825,0.0,0.0
J03592_at,0.1,0.0,0.0
J03600_at,0.225,0.0,0.0
J03764_at,0.05,0.0,0.0
J03779_at,0.425,0.0,0.0
J03798_at,0.65,0.0,0.0
J03810_at,0.05,0.0,0.0
J03824_at,0.95,0.0,0.0
J03827_at,0.1,0.0,0.0
J03909_at,0.125,0.0,0.0
J03925_at,0.275,0.0,0.0
J03930_at,0.1,0.0,0.0
J04027_at,0.875,0.0,0.0
J04056_at,0.375,0.0,0.0
J04080_at,0.025,0.0,0.0
J04101_at,0.9,0.0,0.0
J04102_at,0.3,0.0,0.0
J04111_at,0.175,0.0,0.0
J04132_at,0.35,0.0,0.0
J04156_at,0.05,0.0,0.0
J04164_at,0.975,0.0,0.0
J04444_at,0.025,0.0,0.0
J04469_at,1.0,0.0,0.0
J04543_at,0.05,0.0,0.0
J04605_at,0.1,0.0,0.0
J04611_at,0.025,0.0,0.0
J04615_at,0.425,0.0,0.0
J04621_at,0.025,0.0,0.0
J04739_at,0.375,0.0,0.0
J04760_at,0.05,0.0,0.0
J04794_at,0.025,0.0,0.0
J04809_rna1_at,0.025,0.0,0.0
J04823_rna1_at,0.675,0.0,0.0
J04948_at,0.075,0.0,0.0
J04990_at,0.65,0.0,0.0
J05032_at,0.45,0.0,0.0
J05070_at,0.05,0.0,0.0
J05125_at,0.025,0.0,0.0
J05158_at,0.05,0.0,0.0
J05243_at,1.0,0.0,0.175
J05249_at,0.05,0.0,0.0
J05257_at,0.15,0.0,0.0
J05272_at,0.025,0.0,0.0
J05448_at,0.025,0.0,0.0
J05459_at,0.025,0.0,0.0
J05500_at,0.8,0.0,0.0
J05556_at,0.75,0.0,0.0
K01396_at,0.825,0.0,0.0
K01884_at,0.1,0.0,0.0
K02100_at,0.05,0.0,0.0
K03008_cds2_at,0.05,0.0,0.0
K03195_at,0.225,0.0,0.0
K03218_at,0.1,0.0,0.0
K03430_at,0.2,0.0,0.0
K03474_at,0.375,0.0,0.0
K03515_at,0.875,0.0,0.0
L00137_cds1_at,0.05,0.0,0.0
L00354_at,0.475,0.0,0.0
L01042_at,0.125,0.0,0.0
L01087_at,0.275,0.0,0.0
L01406_at,0.025,0.0,0.0
L01664_at,0.85,0.0,0.0
L02321_at,0.075,0.0,0.0
L02648_at,0.025,0.0,0.0
L02840_at,0.025,0.0,0.0
L02867_at,0.1,0.0,0.0
L02932_at,0.45,0.0,0.0
L03532_at,0.175,0.0,0.0
L03785_at,0.15,0.0,0.0
L04270_at,0.05,0.0,0.0
L04656_at,0.275,0.0,0.0
L04733_at,0.25,0.0,0.0
L04947_at,0.125,0.0,0.0
L05147_at,0.15,0.0,0.0
L05148_at,1.0,0.0,0.0
L05424_cds2_at,0.2,0.0,0.0
L05425_at,0.025,0.0,0.0
L05500_at,0.025,0.0,0.0
L05568_at,0.1,0.0,0.0
L05606_at,0.05,0.0,0.0
L06132_at,0.025,0.0,0.0
L06147_at,0.025,0.0,0.0
L06175_at,0.025,0.0,0.0
L06419_at,0.375,0.0,0.0
L06505_at,0.25,0.0,0.0
L06633_at,0.025,0.0,0.0
L06845_at,0.1,0.0,0.0
L06895_at,0.05,0.0,0.0
L07033_at,0.075,0.0,0.0
L07044_at,0.1,0.0,0.0
L07515_at,0.05,0.0,0.0
L07541_at,0.25,0.0,0.0
L07548_at,0.975,0.0,0.0
L07597_at,0.025,0.0,0.0
L07633_at,1.0,0.0,0.05
L07738_at,0.175,0.0,0.0
L07758_at,0.675,0.0,0.0
L07765_at,0.025,0.0,0.0
L08069_at,0.275,0.0,0.0
L08177_at,0.9,0.0,0.0
L08246_at,0.75,0.0,0.0
L08666_at,0.3,0.0,0.0
L09235_at,0.5,0.0,0.0
L09260_at,0.125,0.0,0.0
L09604_at,0.1,0.0,0.0
L09708_at,0.675,0.0,0.0
L09717_at,0.975,0.0,0.375
L09749_at,0.025,0.0,0.0
L10102_rna1_at,0.1,0.0,0.0
L10343_at,0.15,0.0,0.0
L10373_at,0.75,0.0,0.0
L10378_at,0.025,0.0,0.0
L10838_at,0.325,0.0,0.0
L10910_at,0.05,0.0,0.0
L11285_at,0.25,0.0,0.0
L11329_at,0.375,0.0,0.0
L11353_at,0.25,0.0,0.0
L11369_at,0.075,0.0,0.0
L11370_at,0.025,0.0,0.0
L11372_at,0.025,0.0,0.0
L11373_at,0.95,0.0,0.0
L11566_at,0.025,0.0,0.0
L11669_at,0.975,0.0,0.225
L11708_at,0.25,0.0,0.0
L12392_at,0.15,0.0,0.0
L12535_at,0.8,0.0,0.0
L12701_cds2_at,0.15,0.0,0.0
